1-no,2-depth,3-lat,4-lon,5-maxampZ,6-maxampX,7-maxampY,8-slopZ,9-slopeX,10-slopeY,11-spectralcentZ,12-speccenX,13-speccentY,14-maximumfrequencyampZ,15-rec,16-az,17-dip,18-dd_re,19-dipp,20-DR,21-crossdeep,22-crossshallow,23-Otsu,24-cwtDEEP(meancc),25-cwtSHAL(meancc),26-cwtDEEP(pickcc),27-cwtSHAL(pickcc),28-semblanceDEEP,29-semblanceSHAL,class
1,60,30.009,-91.14,61.114,163.79,260.07,0.85906,2.2414,3.0591,273.32,318.58,298.94,0.042672,0.71799,-72.172,-7.7289,0.096559,0.13449,-0.0035899,0.16313,0.08173,114,0.091431,0.079957,205,175,0.4925,2954,deep
2,60,30.009,-91.14,145.81,355,240.71,1.6642,4.9249,3.0577,292.37,349.41,337.86,0.0043829,0.8046,-25.446,4.9763,0.069794,0.086743,-0.004023,0.23423,0.093086,121,0.11712,0.10425,184,162,0.5018,2936,deep
3,60,30.009,-91.14,7230.4,11431,9199.8,888.84,1075.8,1976.6,297.68,216.49,293.4,0.40025,0.64435,28.131,24.429,0.26648,0.41357,-0.0032217,0.17323,0.012495,91,0.051581,0.04631,246,219,0.5254,2789,deep
4,218,30.009,-91.143,7329.7,28569,21822,37.32,163.77,90.933,149.93,159.48,141.33,7.7169,0.74152,70.286,70.826,0.70038,0.94453,0.0037076,0.1242,0.15262,102,0.08628,0.07793,207,242,0.7375,6139,deep
5,218,30.009,-91.143,9200.6,29550,19678,35.985,125.49,54.496,115.89,129.74,126.29,5.1396,0.55926,89.594,0.0051229,5.00E-05,8.94E-05,-0.0027963,0.09489,0.24327,105,0.096805,0.081469,186,158,0.7397,6180,deep
6,218,30.009,-91.143,67325,44805,51640,236.73,251.91,261.79,135.8,126.88,145.24,90.304,0.85787,22.524,10.429,0.15529,0.18102,-0.0042893,0.11596,0.21916,100,0.084297,0.081089,202,156,0.4797,3352,deep
7,218,30.009,-91.143,1984.8,5505.8,5739.6,9.8937,22.32,25.56,109.87,105.06,90.907,2.6359,0.98574,-75.273,88.045,0.98517,0.99942,0.0049287,0.13939,0.31148,102,0.07504,0.066403,186,160,0.5251,3277,deep
8,218,30.009,-91.143,3819.8,3714.7,11957,34.297,26.215,98.918,238.99,215.35,127.64,1.386,0.45594,81.595,-5.555,0.044136,0.096801,-0.0022797,0.14311,0.042589,84,0.058491,0.054006,219,189,0.5421,2835,deep
9,218,30.009,-91.143,2859,3698.4,4185.9,21.558,29.827,39.191,170.94,171.62,188.71,0.56472,0.55233,75.935,-27.973,0.25908,0.46906,0.0027617,0.11742,0.37364,101,0.094019,0.077773,177,147,0.5206,2633,deep
10,218,30.009,-91.143,79782,2.26E+05,1.28E+05,706.45,1779.6,890.16,145.18,122.61,163.61,137.12,0.84302,-88.822,1.9947,0.029343,0.034807,-0.0042151,0.10382,0.24627,93,0.072925,0.066332,188,161,0.4934,3258,deep
11,218,30.009,-91.143,2260.1,2078.1,3683.8,9.6775,10.942,19.655,124.99,148.46,131.59,2.5748,0.8776,-10.802,7.842,0.11974,0.13644,-0.004388,0.11024,0.21644,107,0.08489,0.078044,201,156,0.4582,3159,deep
12,218,30.009,-91.143,1.04E+05,2.67E+05,1.48E+05,363.32,1759,746.98,114.54,111.13,114.68,228.68,0.83506,64.485,62.544,0.741,0.88736,0.0041753,0.089431,0.33696,92,0.0728,0.067741,186,159,0.4634,2780,deep
13,1091,30.018,-91.122,1258.3,6158.4,2940,7.8933,69.806,34.473,177.29,210.25,190.13,0.71216,0.93843,20.046,4.7534,0.077765,0.082868,-0.0046921,0.12654,0.11335,91,0.084624,0.080328,223,198,0.4785,3147,deep
14,1091,30.018,-91.122,942.9,9444,5350.4,5.4448,99.284,57.328,125.67,155.77,166.47,0.58428,0.84981,21.211,-0.46815,0.0069436,0.0081707,-0.0042491,0.15869,0.14198,120,0.091324,0.076537,197,171,0.5137,2775,deep
15,1091,30.018,-91.122,15630,11609,16818,159.96,42.112,-3499.7,132.37,122.49,117.56,27.631,0.53845,23.881,69.592,0.50466,0.93724,0.0026923,0.16783,0.09547,83,0.080799,0.076881,202,254,0.5573,2851,deep
16,1091,30.018,-91.122,996.09,4093,4603.4,9.4236,31.713,32.432,432.02,366.08,300.21,0.056883,0.72617,80.597,77.563,0.70913,0.97654,0.0036308,0.23386,0.029473,77,0.06176,0.053525,226,199,0.4516,2649,deep
17,1091,30.018,-91.122,904.29,2316.7,2229.8,7.0273,17.033,17.425,387.03,357.86,358.49,0.12837,0.82435,35.737,82.625,0.81752,0.99173,0.0041217,0.32908,0.20792,83,0.08266,0.073605,177,151,0.4884,2695,deep
18,1091,30.018,-91.122,57443,80821,55753,374.35,490.8,398.4,314.51,237.32,244.78,25.51,0.92729,84.451,87.415,0.92635,0.99898,0.0046364,0.20777,0.079874,78,0.067465,0.061694,204,174,0.4941,2811,deep
19,1091,30.018,-91.122,29552,1.03E+05,85850,260.83,510.76,457.32,230.38,227.78,281.06,10.743,0.80667,-64.583,77.838,0.78857,0.97756,0.0040334,0.10311,0.068587,107,0.065174,0.060875,223,258,0.5107,2987,deep
20,160,30.01,-91.143,11147,30729,26100,92.261,236.33,220.33,136.6,268.54,312.56,6.9841,0.48258,-52.687,23.082,0.18919,0.39204,0.0024129,0.094225,0.1714,90,0.079959,0.07586,192,165,0.4996,2615,deep
21,160,30.01,-91.143,485.91,403.3,656.09,2.7779,1.7348,3.4758,147.23,141.41,141.93,1.5808,0.75796,0.79616,13.005,0.17056,0.22503,-0.0037898,0.10068,0.3513,118,0.14601,0.1154,176,134,0.7463,6167,deep
22,160,30.01,-91.143,421.55,485.98,340.28,4.3509,5.3871,3.7108,221.38,190.82,209.16,0.05786,0.84534,-34.009,35.613,0.49224,0.5823,-0.0042267,0.23017,0.058707,88,0.051832,0.045473,224,196,0.4893,2756,deep
23,160,30.01,-91.143,8932.8,5421.9,5841.8,62.519,25.84,30.293,142.02,132.15,124.31,3.939,0.77891,44.336,35.646,0.45393,0.58278,-0.0038945,0.14821,0.089561,89,0.074191,0.070243,220,169,0.5002,3506,deep
24,160,30.01,-91.143,282.23,809.89,585.97,3.0701,7.5495,7.0703,177.31,177.92,203.47,0.047977,0.71888,-31.04,-4.2315,0.053044,0.073787,-0.0035944,0.10815,0.11883,88,0.087359,0.080995,226,157,0.4734,2967,deep
25,160,30.01,-91.143,9929.5,27969,20583,96.619,245.31,217.19,184.32,179.01,163.48,1.6988,0.59133,30.817,18.878,0.19133,0.32356,-0.0029566,0.13359,0.085577,114,0.075521,0.06674,228,202,0.5141,2460,deep
26,40,30.009,-91.136,257.43,317.5,390.29,1.7596,1.0024,2.1538,147.25,140.55,147.88,0.21926,0.80909,17.189,45.787,0.57992,0.71676,0.0040454,0.11587,0.12697,108,0.11638,0.10035,149,184,0.5045,2901,deep
27,40,30.009,-91.136,570.16,1095.8,1248.9,7.6445,12.178,11.425,301.22,339.52,295.39,1.6355,0.60414,-47.515,-4.0082,0.042229,0.0699,-0.0030207,0.15222,0.41232,94,0.11158,0.084184,178,212,0.8553,7990,deep
28,40,30.009,-91.136,269.27,620.72,877.52,1.6868,4.5062,4.7723,170.04,169.22,188.48,0.11431,0.70471,-46.05,4.547,0.055867,0.079276,-0.0035235,0.12425,0.059409,111,0.061344,0.060163,225,198,0.5073,2727,deep
29,100,30.009,-91.143,195.1,131.91,227.53,1.0511,0.71331,0.99679,152.14,130.79,136.62,0.46204,0.78467,32.366,72.073,0.74657,0.95145,0.0039233,0.13099,0.10034,111,0.083482,0.08822,202,174,0.5108,2799,deep
30,100,30.009,-91.143,17.872,74.744,170.45,0.010292,0.061566,0.26891,228.86,249.54,273.13,0.092494,0.89911,31.539,-11.757,0.18321,0.20377,-0.0044955,0.099226,0.17724,104,0.09906,0.11041,202,237,0.4889,2978,deep
31,100,30.009,-91.143,5916.1,4304.2,5266.9,39.638,17.021,16.596,137.91,139.84,134.3,19.424,0.80136,32.394,54.342,0.65111,0.81251,0.0040068,0.17067,0.088844,117,0.07553,0.079051,201,253,0.499,2777,deep
32,100,30.009,-91.143,399.66,869.23,931.99,2.6943,6.1619,6.7302,299.26,288.44,301.73,0.2634,0.66301,-6.3967,1.9584,0.022658,0.034175,-0.003315,0.20567,0.044384,107,0.063647,0.059224,203,174,0.495,2729,deep
33,100,30.009,-91.143,17947,48668,21571,105.57,336.3,247.39,263.73,197.97,229.82,0.97115,0.52339,56.576,46.913,0.38224,0.73032,0.002617,0.13248,0.045289,99,0.060952,0.05489,225,214,0.4934,2903,deep
34,181,30.009,-91.143,26608,19108,15103,141.58,264,34.292,119.09,151.85,152.08,70.969,0.77905,16.083,2.8023,0.038088,0.04889,-0.0038953,0.083365,0.28023,89,0.071993,0.067916,192,164,0.5107,3168,deep
35,181,30.009,-91.143,767.11,730.79,1077.2,3.8395,7.2363,6.3048,109.58,165.77,105.01,2.886,0.48741,-23.05,34.914,0.27897,0.57235,0.0024371,0.12016,0.29248,100,0.087415,0.085068,177,231,0.4923,3168,deep
36,181,30.009,-91.143,1822.1,1862.2,1909.6,18.472,20.491,16.698,189.61,224.69,176.4,1.0447,0.60047,17.648,19.764,0.20304,0.33814,-0.0030023,0.14421,0.080075,108,0.057231,0.052455,209,181,0.4862,2716,deep
