1	Hour(UTC)	Latitude	Longitude	Coordinates zone	Coordinates X	Coordinates Y	Depth	Magnitude	Origin	Dx(m)	Dy(m)	Dz(m)	Zone
2	24:46.1	30.00933105	-91.13996655	15N 	679395	3321276	60	-0.49	Located Shallow Event	20	210	100	TexasBrine		
3	24:50.3	30.00946268	-91.14289783	15N 	679112	3321286	139	-0.56	Located Shallow Event	60	260	130	TexasBrine		
4	14:45.7	30.00970329	-91.14268601	15N 	679132	3321313	117	-0.88	Located Shallow Event	70	110	50	TexasBrine		
5	24:32.6	30.00916502	-91.14290337	15N 	679112	3321253	181	-0.68	Located Shallow Event	10	160	70	TexasBrine			
6	55:12.8	30.0088013	-91.14270282	15N 	679132	3321213	80	-0.64	Located Shallow Event	60	170	80	TexasBrine		
7	20:27.0	30.00879252	-91.14208099	15N 	679192	3321213	40	-0.64	Located Shallow Event	110	140	60	TexasBrine			
8	29:14.3	30.00956165	-91.14351798	15N 	679052	3321296	160	-1.31	Located Shallow Event	30	90	150	TexasBrine				
9	03:15.8	30.00922524	-91.14269492	15N 	679132	3321260	157	-0.38	Located Shallow Event	30	70	30	TexasBrine				
10	05:40.6	30.00973035	-91.14268551	15N 	679132	3321316	180	-0.72	Located Shallow Event	10	80	30	TexasBrine				
11	06:53.6	30.00974546	-91.14247789	15N 	679152	3321318	80	-1.15	Located Shallow Event	50	70	30	TexasBrine				
12	22:08.6	30.00937647	-91.14190424	15N 	679208	3321278	80	-0.53	Located Shallow Event	30	70	30	TexasBrine				
13	25:58.2	30.00989246	-91.14330448	15N 	679072	3321333	80	-0.97	Located Shallow Event	60	110	20	TexasBrine				
14	07:47.5	30.00879813	-91.14311754	15N 	679092	3321212	131	-0.41	Located Shallow Event	40	60	50	TexasBrine				
15	19:01.9	30.00917404	-91.1429032	15N 	679112	3321254	180	-0.89	Located Shallow Event	0	20	0	TexasBrine				
16	57:37.1	30.00798927	-91.14333993	15N 	679072	3321122	199	-1.15	Located Shallow Event	10	120	20	TexasBrine				
17	32:04.8	30.01013892	-91.14350722	15N 	679052	3321360	140	-0.65	Located Shallow Event	50	20	10	TexasBrine				
18	32:10.1	30.00881008	-91.14332464	15N 	679072	3321213	180	-0.79	Located Shallow Event	40	40	0	TexasBrine				
19	32:29.7	30.01059942	-91.14225464	15N 	679172	3321413	80	-1.29	Located Shallow Event	50	0	0	TexasBrine				
20	53:34.3	30.00916502	-91.14290337	15N 	679112	3321253	100	-0.54	Located Shallow Event	60	40	0	TexasBrine				
21	55:13.3	30.0094535	-91.14096982	15N 	679298	3321288	40	-0.88	Located Deep Event	20	30	0	TexasBrine				
22	00:47.6	30.00603209	-91.13827622	15N 	679564	3320913	100	-0.64	Located Deep Event	40	90	30	TexasBrine				
23	00:28.4	30.00970304	-91.14330801	15N 	679072	3321312	160	-1.13	Located Shallow Event	30	50	30	TexasBrine				
24	06:22.0	30.00858668	-91.14219886	15N 	679181	3321190	80	-0.28	Located Shallow Event	70	30	0	TexasBrine				
25	27:09.6	30.01148969	-91.14140871	15N 	679252	3321513	60	-1.33	Located Shallow Event	70	80	0	TexasBrine				
26	47:37.4	30.00852729	-91.14374457	15N 	679032	3321181	120	-1.25	Located Shallow Event	20	60	40	TexasBrine				
27	49:13.1	30.0083018	-91.14374877	15N 	679032	3321156	100	-1.37	Located Shallow Event	60	110	30	TexasBrine				
28	37:46.4	30.01078567	-91.14266584	15N 	679132	3321433	140	-1.25	Located Shallow Event	10	80	50	TexasBrine				
29	02:38.2	30.01004872	-91.1435089	15N 	679052	3321350	180	-0.79	Located Shallow Event	40	100	20	TexasBrine				
30	06:37.8	30.01007895	-91.14309367	15N 	679092	3321354	199	-1.63	Located Shallow Event	60	40	0	TexasBrine				
31	51:33.6	30.00962776	-91.13925608	15N 	679463	3321310	1708	-0.68	Located Deep Event	130	130	10	TexasBrine				
32	32:10.2	30.00918574	-91.14373231	15N 	679032	3321254	180	-0.79	Located Shallow Event	20	30	0	TexasBrine				
33	38:15.8	30.00828376	-91.14374911	15N 	679032	3321154	120	-1.01	Located Shallow Event	20	80	40	TexasBrine				
34	34:45.6	30.00908994	-91.14269744	15N 	679132	3321245	60	-0.77	Located Shallow Event	10	50	20	TexasBrine				
35	34:45.6	30.00879545	-91.14228827	15N 	679172	3321213	40	-0.77	Located Shallow Event	0	50	0	TexasBrine				
36	25:37.9	30.00795027	-91.14313333	15N 	679092	3321118	140	-0.87	Located Shallow Event	20	90	40	TexasBrine				
37	29:14.0	30.00966918	-91.14027123	15N 	679365	3321313	80	-0.8	Located Shallow Event	30	0	0	TexasBrine				
38	21:41.2	30.00882177	-91.14415375	15N 	678992	3321213	120	-0.69	Located Shallow Event	10	50	0	TexasBrine				
39	27:20.6	30.01022059	-91.14226171	15N 	679172	3321371	20	-0.62	Located Shallow Event	80	70	20	TexasBrine				
40	59:23.5	30.00971206	-91.14330784	15N 	679072	3321313	119	-1.11	Located Shallow Event	50	60	10	TexasBrine				
41	09:31.9	30.00963582	-91.13982609	15N 	679408	3321310	40	-0.37	Located Deep Event	30	20	10	TexasBrine				
42	24:55.6	30.00988661	-91.14288993	15N 	679112	3321333	140	-0.38	Located Shallow Event	30	30	0	TexasBrine				
43	17:06.0	30.00970621	-91.14289329	15N 	679112	3321313	139	-0.9	Located Shallow Event	50	30	20	TexasBrine				
44	21:17.6	30.00961031	-91.1367477	15N 	679705	3321312	100	-1.23	Located Shallow Event	40	50	30					
45	29:30.4	30.00997302	-91.12924588	15N 	680428	3321364	1858	0.02	Located Deep Event	110	70	10	
46	21:23.5	30.00972526	-91.14104768	15N 	679290	3321318	80	-0.73	Located Shallow Event	50	60	50	TexasBrine				
47	22:21.4	30.00842515	-91.14353914	15N 	679052	3321170	100	-0.84	Located Shallow Event	70	60	30	TexasBrine				
48	15:30.8	30.00988344	-91.14330465	15N 	679072	3321332	180	-1.46	Located Shallow Event	50	120	220	TexasBrine				
49	35:50.7	30.00950826	-91.14165299	15N 	679232	3321293	40	-0.61	Located Shallow Event	0	70	40	TexasBrine				
50	47:38.3	30.00713088	-91.13941673	15N 	679452	3321033	80	-0.5	Located Shallow Event	90	90	10	TexasBrine				
51	16:23.3	30.00992854	-91.14330381	15N 	679072	3321337	180	-1.24	Located Shallow Event	30	60	10	TexasBrine				
52	31:15.6	30.01076436	-91.14179543	15N 	679216	3321432	40	-1.03	Located Shallow Event	130	40	50	TexasBrine				
53	38:11.7	30.00730329	-91.13821101	15N 	679568	3321054	80	-1.06	Located Shallow Event	40	0	0	TexasBrine				
54	15:14.9	30.00969402	-91.14330818	15N 	679072	3321311	200	-1.25	Located Shallow Event	10	130	30	TexasBrine				
55	42:16.5	30.01041585	-91.14267273	15N 	679132	3321392	237	-0.9	Located Shallow Event	20	110	170	TexasBrine				
56	42:44.6	30.00970914	-91.14310056	15N 	679092	3321313	102	-0.79	Located Shallow Event	10	100	10	TexasBrine				
57	59:51.8	30.0101572	-91.14288488	15N 	679112	3321363	160	-1.07	Located Shallow Event	30	140	230	TexasBrine				
58	50:40.3	30.00991074	-91.14268214	15N 	679132	3321336	160	-1.01	Located Shallow Event	40	70	40	TexasBrine				
59	54:10.0	30.0095107	-91.14310426	15N 	679092	3321291	118	-1.23	Located Shallow Event	10	60	50	TexasBrine				
60	58:29.3	30.01010284	-91.14350789	15N 	679052	3321356	140	-1.06	Located Shallow Event	30	30	20	TexasBrine				
61	10:03.3	30.0092072	-91.14269526	15N 	679132	3321258	139	-1.11	Located Shallow Event	50	60	20	TexasBrine				
62	29:57.7	30.00948364	-91.14310477	15N 	679092	3321288	160	-1.09	Located Shallow Event	50	70	0	TexasBrine				
63	52:30.1	30.00938125	-91.14352134	15N 	679052	3321276	60	-0.98	Located Shallow Event	60	10	0	TexasBrine				
64	17:29.8	30.00937607	-91.14059807	15N 	679334	3321280	120	-0.63	Located Shallow Event	100	30	30	TexasBrine				
65	07:03.7	30.00970329	-91.14268601	15N 	679132	3321313	120	-0.83	Located Shallow Event	80	40	50	TexasBrine				
66	41:32.1	30.00710449	-91.13755128	15N 	679632	3321033	80	-0.88	Located Shallow Event	40	20	0	TexasBrine				
67	59:35.9	30.00973644	-91.14247806	15N 	679152	3321317	160	-1.01	Located Shallow Event	20	40	10	TexasBrine				
68	53:33.3	30.00585345	-91.13840395	15N 	679552	3320893	60	-0.44	Located Shallow Event	40	40	10	TexasBrine				
69	32:44.2	30.00916795	-91.14311065	15N 	679092	3321253	218	-1.03	Located Shallow Event	30	30	0	TexasBrine				
70	47:48.4	30.00954653	-91.14372559	15N 	679032	3321294	200	-1.06	Located Shallow Event	60	70	10	TexasBrine				
71	50:13.4	30.00943879	-91.14248361	15N 	679152	3321284	216	-0.7	Located Shallow Event	20	40	20	TexasBrine				
72	25:06.9	30.0091383	-91.14164952	15N 	679233	3321252	80	-0.69	Located Shallow Event	40	30	20	TexasBrine				
73	39:15.1	30.00970621	-91.14289329	15N 	679112	3321313	100	-1.24	Located Shallow Event	50	40	20	TexasBrine				
74	11:45.8	30.00989855	-91.14309704	15N 	679092	3321334	198	-1.37	Located Shallow Event	20	60	50	TexasBrine				
75	29:58.8	30.0086504	-91.14415694	15N 	678992	3321194	160	-0.83	Located Shallow Event	0	60	10	TexasBrine				
76	46:15.0	30.00916502	-91.14290337	15N 	679112	3321253	147	-0.76	Located Shallow Event	40	30	0	TexasBrine				
77	20:17.2	30.00945366	-91.14289799	15N 	679112	3321285	140	-1.1	Located Shallow Event	30	40	10	TexasBrine				
78	34:08.2	30.00943562	-91.14289833	15N 	679112	3321283	160	-0.75	Located Shallow Event	40	110	40	TexasBrine				
79	51:37.0	30.01318003	-91.13716821	15N 	679658	3321707	120	-1.24	Located Shallow Event	30	70	30					
80	51:37.0	30.01304737	-91.13735729	15N 	679640	3321692	120	-1.26	Located Shallow Event	130	70	30	TexasBrine				
81	11:18.8	30.00952557	-91.14351865	15N 	679052	3321292	180	-1.03	Located Shallow Event	50	40	10	TexasBrine				
82	18:40.4	30.00915917	-91.14248882	15N 	679152	3321253	60	-1.18	Located Shallow Event	0	70	60	TexasBrine				
83	23:07.6	30.00965867	-91.14144285	15N 	679252	3321310	80	-1.42	Located Shallow Event	50	70	40	TexasBrine				
84	58:28.3	30.00949559	-91.14331187	15N 	679072	3321289	60	-0.81	Located Shallow Event	40	20	10	TexasBrine				
85	53:52.5	30.00940563	-91.14269156	15N 	679132	3321280	183	-0.4	Located Shallow Event	30	160	0	TexasBrine				
86	56:16.9	30.00965843	-91.14206485	15N 	679192	3321309	80	-0.91	Located Shallow Event	40	70	30	TexasBrine				
87	01:05.8	30.0099105	-91.14330415	15N 	679072	3321335	180	-1.13	Located Shallow Event	0	60	50	TexasBrine				
88	02:57.6	30.01008188	-91.14330095	15N 	679072	3321354	180	-1.38	Located Shallow Event	40	40	20	TexasBrine				
89	38:56.4	30.00988661	-91.14288993	15N 	679112	3321333	100	-0.96	Located Shallow Event	30	40	20	TexasBrine				
90	41:23.8	30.0091621	-91.1426961	15N 	679132	3321253	60	-1.1	Located Shallow Event	40	40	20	TexasBrine				
91	42:58.3	30.00917087	-91.14331792	15N 	679072	3321253	140	-0.95	Located Shallow Event	50	30	0	TexasBrine				
92	22:12.0	30.00948364	-91.14310477	15N 	679092	3321288	101	-1.06	Located Shallow Event	10	40	20	TexasBrine				
93	28:32.3	30.00944464	-91.14289816	15N 	679112	3321284	139	-1	Located Shallow Event	30	130	60	TexasBrine				
94	46:13.5	30.01285783	-91.13226033	15N 	680132	3321679	917	-1.6	Located Deep Event	40	60	40					
95	13:18.7	30.00938452	-91.14247425	15N 	679153	3321278	199	-0.49	Located Shallow Event	30	60	10	TexasBrine				
96	05:56.5	30.01077522	-91.14128726	15N 	679265	3321434	121	-0.7	Located Shallow Event	50	70	50	TexasBrine				
97	07:49.5	30.01022258	-91.14176407	15N 	679220	3321372	80	-1.05	Located Shallow Event	50	60	50	TexasBrine				
98	47:29.3	30.00880715	-91.14311737	15N 	679092	3321213	240	-0.74	Located Shallow Event	0	70	40	TexasBrine				
99	46:59.1	30.00993463	-91.14309636	15N 	679092	3321338	181	-1.32	Located Shallow Event	30	110	30	TexasBrine				
100	51:41.8	30.00875308	-91.1418433	15N 	679215	3321209	60	-0.92	Located Shallow Event	80	30	20	TexasBrine				
101	33:42.5	30.00971206	-91.14330784	15N 	679072	3321313	160	-1.04	Located Shallow Event	30	100	60	TexasBrine				
102	49:50.6	30.00881008	-91.14332464	15N 	679072	3321213	219	-0.79	Located Shallow Event	20	90	60	TexasBrine				
103	47:11.1	30.0092007	-91.14159652	15N 	679238	3321259	120	-0.95	Located Shallow Event	50	130	60	TexasBrine				
104	03:56.8	30.00946853	-91.14331238	15N 	679072	3321286	183	-1.24	Located Shallow Event	40	120	60	TexasBrine				
105	51:03.1	30.00939325	-91.14245336	15N 	679155	3321279	181	-0.94	Located Shallow Event	40	120	60	TexasBrine				
106	07:57.4	30.00892743	-91.1426901	15N 	679133	3321227	218	-0.72	Located Shallow Event	20	20	0	TexasBrine				
107	41:50.7	30.00972742	-91.14247823	15N 	679152	3321316	242	-0.81	Located Shallow Event	20	160	240	TexasBrine				
108	42:42.8	30.00823286	-91.14206033	15N 	679195	3321151	80	-0.66	Located Shallow Event	50	210	230	TexasBrine				
109	20:06.5	30.00958286	-91.14310292	15N 	679092	3321299	160	-1.13	Located Shallow Event	50	70	50	TexasBrine				
110	20:06.5	30.00990148	-91.14330431	15N 	679072	3321334	180	-1.13	Located Shallow Event	40	60	20	TexasBrine				
111	53:38.5	30.00897092	-91.14257526	15N 	679144	3321232	121	-0.66	Located Shallow Event	40	50	20	TexasBrine				
112	34:34.6	30.00946055	-91.14019219	15N 	679373	3321290	60	-1.09	Located Shallow Event	20	70	40	TexasBrine				
113	37:47.6	30.00991952	-91.14330398	15N 	679072	3321336	140	-0.77	Located Shallow Event	20	40	30	TexasBrine				
114	15:56.7	30.00990757	-91.14309687	15N 	679092	3321335	200	-1.02	Located Shallow Event	20	90	50	TexasBrine				
115	26:04.8	30.00992878	-91.14268181	15N 	679132	3321338	160	-1.41	Located Shallow Event	40	90	40	TexasBrine				
116	30:19.8	30.00896994	-91.14122763	15N 	679274	3321234	80	-0.55	Located Shallow Event	40	240	110	TexasBrine				
117	37:34.5	30.008813	-91.14353192	15N 	679052	3321213	120	-0.84	Located Shallow Event	10	150	70	TexasBrine				
118	32:15.0	30.00970329	-91.14268601	15N 	679132	3321313	122	-0.94	Located Shallow Event	30	90	50	TexasBrine				
119	13:27.5	30.00904499	-91.14270864	15N 	679131	3321240	80	-0.59	Located Shallow Event	30	110	50	TexasBrine				
120	16:54.6	30.00976716	-91.13954375	15N 	679435	3321325	80	-0.56	Located Shallow Event	50	60	10	TexasBrine				
121	37:17.6	30.00941758	-91.14289867	15N 	679112	3321281	102	-1.35	Located Shallow Event	50	70	50	TexasBrine				
122	55:24.8	30.00880715	-91.14311737	15N 	679092	3321213	145	-1.01	Located Shallow Event	50	60	40	TexasBrine				
123	06:47.6	30.00950753	-91.14351898	15N 	679052	3321290	180	-1.07	Located Shallow Event	20	70	40	TexasBrine				
124	18:53.6	30.00943879	-91.14248361	15N 	679152	3321284	212	-0.59	Located Shallow Event	20	40	0	TexasBrine				
125	27:02.4	30.00939954	-91.142899	15N 	679112	3321279	121	-0.85	Located Shallow Event	70	70	50	TexasBrine				
126	29:22.1	30.00939637	-91.14331372	15N 	679072	3321278	182	-0.9	Located Shallow Event	50	50	50	TexasBrine				
127	37:10.4	30.00878336	-91.1420708	15N 	679193	3321212	80	-1.04	Located Shallow Event	50	100	50	TexasBrine				
128	28:25.9	30.00949851	-91.14351915	15N 	679052	3321289	180	-1.08	Located Shallow Event	40	50	10	TexasBrine				
129	55:29.9	30.01043073	-91.14308712	15N 	679092	3321393	200	-1.25	Located Shallow Event	10	90	40	TexasBrine				
130	17:45.3	30.00898755	-91.14311401	15N 	679092	3321233	140	-0.94	Located Shallow Event	50	50	30	TexasBrine				
131	41:46.8	30.00948657	-91.14331204	15N 	679072	3321288	199	-0.82	Located Shallow Event	20	50	10	TexasBrine				
132	43:07.6	30.01016013	-91.14309216	15N 	679092	3321363	200	-0.98	Located Shallow Event	20	50	60	TexasBrine				
133	07:55.9	30.00898755	-91.14311401	15N 	679092	3321233	138	-0.8	Located Shallow Event	60	180	80	TexasBrine				
134	54:36.9	30.00988953	-91.1430972	15N 	679092	3321333	103	-1.26	Located Shallow Event	10	30	30	TexasBrine				
135	22:53.1	30.00970012	-91.14310073	15N 	679092	3321312	181	-1.02	Located Shallow Event	30	40	10	TexasBrine				
136	48:35.5	30.0089934	-91.14352856	15N 	679052	3321233	120	-0.77	Located Shallow Event	60	50	0	TexasBrine				
137	46:51.8	30.00964892	-91.14330902	15N 	679072	3321306	140	-0.89	Located Shallow Event	40	60	10	TexasBrine				
138	31:38.6	30.00923991	-91.14245622	15N 	679155	3321262	100	-0.49	Located Shallow Event	20	40	30	TexasBrine				
139	12:43.6	30.00949559	-91.14331187	15N 	679072	3321289	220	-1.17	Located Shallow Event	0	40	20	TexasBrine				
