evntName,lat,lon,depth,mag,maxAmp,spCen,rmsA,maxPFA,maxFA,maxPF_FA,Energy,rect,azmth,indAngl,Dip,DipRec,ccD,ccS,xotsu,ccnAb2D,ccnAb2S,ypicD,ypicS,ccnRel2D,ccnRel2S,ccAb2D,ccAb2S,ccRel2D,ccRel2S,xp2D,xp2S,xpp2D,xpp2S,semD,semS,skwnss,semblanceD,semblanceS,envelopD,envelopS,udD,udS,ud2D,ud2S,class
1_20131027_222119,30.008167,-91.143129,1457,-1.32,4165.369829,163.534058,17.938366,196.264885,124.761905,1.030729,999127.4398,0.962432,42.077102,58.273137,31.726863,58.273137,0.118626,0.270326,4643.333333,0.061458,0.052935,152.857143,175.571429,0.001434,0.001468,0.060652,0.002936,-0.002767,0.005413,0.027075,0.027093,-0.008749,0.010001,0.20218,0.228595,-3.764616,47,42,1.578347,4.105807,20399.68594,26880.00067,1176469492,2341161020,Deep
1_20131109_200709,30.013671,-91.13041,1920,-0.26,651.001933,201.701809,3.114816,22.867877,139,0.157584,6046.874535,0.931932,21.844498,65.122725,24.877275,65.122725,0.110466,0.256897,938,0.071291,0.061085,159,175.666667,0.002008,0.002044,0.149715,0.104622,0.000682,-0.013847,0.030213,0.030246,0.013484,-0.006039,0.19509,0.21461,1.756821,50,44.666667,1.699086,6.285428,1709.807427,21091.52998,34783202.64,1322143215,Deep
1_20131119_053106,30.018023,-91.122429,1091,0.16,7692.30014,171.700518,45.100289,491.968771,147.958333,2.741748,3876528.435,0.952174,40.485781,68.339375,21.642769,68.339375,0.1025,0.25705,6274.666667,0.06483,0.055623,155.875,176.875,0.001503,0.001553,0.144382,0.149502,0.000919,-0.028491,0.026738,0.026845,0.009373,0.028889,0.197506,0.222717,-2.635231,40.25,35.125,1.547582,4.059643,1709.807427,21091.52998,34783202.64,1322143215,Deep
1_20131124_065839,30.015764,-91.125975,1340,-0.19,2107.417959,163.477677,7.029718,184.584023,110.5,0.405509,844511.6943,0.960923,50.9857,76.066267,13.933733,76.066267,0.137073,0.273026,1522.666667,0.063409,0.054428,154.5,174.5,0.00146,0.001496,0.063375,0.002828,0.005952,0.007273,0.027905,0.027925,-0.015425,0.000111,0.195747,0.229283,-5.270463,44.5,42.5,1.625734,4.69227,13211.18798,25644.64862,482204888,1813683230,Deep
1_20131124_065918,30.016706,-91.124962,1599,0.07,1845.704464,172.277369,6.321298,151.796192,117.666667,0.345408,677083.9613,0.953916,43.40408,73.487645,16.512355,73.487645,0.136795,0.281995,2441.666667,0.06269,0.053719,154,174.6,0.001606,0.001641,0.063808,0.002363,0.004744,0.007513,0.030708,0.030697,-0.012048,0.002212,0.198909,0.227813,-5.270463,47.2,42,1.668292,5.067243,13211.18798,25644.64862,482204888,1813683230,Deep
1_20131207_023754,30.012748,-91.128976,1483,-0.32,4676.585474,162.661375,18.626572,223.285349,131.733333,0.813822,1289251.97,0.964602,53.616106,65.091272,24.908728,65.091272,0.128579,0.273758,2323.333333,0.060822,0.052331,155,176.4,0.001308,0.001343,0.059184,-0.001423,-0.002189,0.005145,0.02681,0.026825,-0.013872,0.001418,0.203181,0.231126,-5.270463,45,42.2,1.570042,4.079313,13211.18798,25644.64862,482204888,1813683230,Deep
1_20131210_222211,30.010893,-91.140673,1761,0.06,20861.72263,171.778873,91.343265,1214.352444,136.5,235.49003,37178926.25,0.948864,22.32997,76.130656,13.845536,76.130656,0.107247,0.280108,3700,0.062682,0.053329,151.833333,176,0.001808,0.001859,0.132936,0.153654,-0.000646,-0.028242,0.029588,0.029674,0.005487,0.0454,0.191181,0.212814,-3.513642,39,25.166667,1.589279,3.941025,505831.9125,504936.4008,6.71186E+11,6.71236E+11,Deep
1_20131213_091049,30.01362,-91.128763,1817,-0.22,1845.704464,172.277369,6.321298,151.796192,117.666667,0.345408,677083.9613,0.953916,43.40408,73.487645,16.512355,73.487645,0.136795,0.281995,2441.666667,0.06269,0.053719,154,174.6,0.001606,0.001641,0.063808,0.002363,0.004744,0.007513,0.030708,0.030697,-0.012048,0.002212,0.198909,0.227813,-5.270463,47.2,42,1.668292,5.067243,13211.18798,25644.64862,482204888,1813683230,Deep
1_20131220_083219,30.013355,-91.129131,1599,-0.12,4991.735484,173.456915,20.640261,191.97589,146,0.840774,1191152.373,0.956763,44.796682,59.124245,30.875755,59.124245,0.126108,0.285153,1528,0.059276,0.050921,154.5,177,0.001452,0.001485,0.058678,-0.003068,-0.005735,0.004913,0.03004,0.030016,-0.009263,0.004372,0.208991,0.229749,-5.270463,48.5,41.5,1.609318,4.39479,13211.18798,25644.64862,482204888,1813683230,Deep
1_20131225_000704,30.01098,-91.13215,1600,-1.09,4726.456387,156.210378,20.346823,225.534889,121.166667,1.185016,1164419.842,0.968523,46.910352,57.456468,32.543532,57.456468,0.115783,0.262401,3334,0.061732,0.053277,153,175.666667,0.001307,0.001343,0.059837,0.003341,-0.003213,0.004903,0.024601,0.024644,-0.01045,0.009898,0.200618,0.229705,-3.513642,45.166667,42.333333,1.534984,3.695585,20399.68594,26880.00067,1176469492,2341161020,Deep
1_20140104_095048,30.008614,-91.130733,1316,-0.44,1845.704464,172.277369,6.321298,151.796192,117.666667,0.345408,677083.9613,0.953916,43.40408,73.487645,16.512355,73.487645,0.136795,0.281995,2441.666667,0.06269,0.053719,154,174.6,0.001606,0.001641,0.063808,0.002363,0.004744,0.007513,0.030708,0.030697,-0.012048,0.002212,0.198909,0.227813,-5.270463,47.2,42,1.668292,5.067243,13211.18798,25644.64862,482204888,1813683230,Deep
1_20140111_051440,30.008874,-91.140213,1869,-0.12,2107.417959,163.477677,7.029718,184.584023,110.5,0.405509,844511.6943,0.960923,50.9857,76.066267,13.933733,76.066267,0.137073,0.273026,1522.666667,0.063409,0.054428,154.5,174.5,0.00146,0.001496,0.063375,0.002828,0.005952,0.007273,0.027905,0.027925,-0.015425,0.000111,0.195747,0.229283,-5.270463,44.5,42.5,1.625734,4.69227,13211.18798,25644.64862,482204888,1813683230,Deep
1_20140111_051507,30.009764,-91.139969,1923,-0.12,27984.72715,180.349967,90.729177,1381.860655,114.555556,464.877345,65609778.03,0.948955,9.552866,71.862595,18.137405,71.862595,0.129316,0.299935,935,0.062936,0.05339,151.666667,175.333333,0.00209,0.002121,0.065112,0.008833,-0.010647,0.006547,0.030194,0.030173,-0.013859,0.006476,0.188389,0.204704,-1.756821,46.666667,30,1.670833,4.823394,505831.9125,504936.4008,6.71186E+11,6.71236E+11,Deep
1_20140111_204809,30.014828,-91.127392,1265,0.01,1597.304525,175.256666,5.662617,131.049143,118.777778,0.33163,564802.3953,0.952266,42.733115,72.743348,17.256652,72.743348,0.124002,0.257486,3514,0.067949,0.058347,157.166667,175,0.001612,0.00165,0.106184,0.054113,0.004324,-0.003487,0.026723,0.026775,-0.003784,-0.004715,0.192784,0.223172,-1.756821,45,44,1.626945,5.176371,1709.807427,21091.52998,34783202.63,1322143215,Deep
1_20140126_043008,30.013537,-91.129905,1700,-0.41,27984.72715,180.349967,90.729177,1381.860655,114.555556,464.877345,65609778.03,0.948955,9.552866,71.862595,18.137405,71.862595,0.129316,0.299935,935,0.062936,0.05339,151.666667,175.333333,0.00209,0.002121,0.065112,0.008833,-0.010647,0.006547,0.030194,0.030173,-0.013859,0.006476,0.188389,0.204704,-1.756821,46.666667,30,1.670833,4.823394,505831.9125,504936.4008,6.71186E+11,6.71236E+11,Deep
1_20140127_063610,30.014376,-91.123524,1200,-0.4,24726.85924,175.111517,84.30038,1130.918154,140.083333,349.269777,49974386.79,0.956545,23.199081,59.194769,30.805231,59.194769,0.120638,0.294122,1582.666667,0.059821,0.051029,153,177.5,0.001742,0.001773,0.05944,0.002017,-0.016674,0.004069,0.028253,0.028236,-0.012309,0.006519,0.19952,0.213151,-2.635231,46.75,32.75,1.589944,4.024417,505831.9125,504936.4008,6.71186E+11,6.71236E+11,Deep
1_20140201_115947,30.005219,-91.145879,1518,-0.2,5869.847824,187.98951,39.213746,445.68156,152.416667,2.500374,3747043.089,0.933025,26.363665,69.403471,20.596529,69.403471,0.117445,0.309006,1658.666667,0.061178,0.051922,151.75,175.25,0.002012,0.002053,0.116795,0.121512,0.013555,-0.018106,0.039809,0.039768,0.015304,0.023908,0.203535,0.215972,-5.270463,48.75,33.75,1.714423,5.253949,72581.74958,60921.23513,14454578596,14033204044,Deep
1_20140207_092448,30.012866,-91.12774,1545,-0.47,6524.131561,165.990279,40.984795,527.65114,134.5,2.650626,4165612.421,0.950541,45.317715,75.850028,14.149972,75.850028,0.11814,0.286582,1558.666667,0.062977,0.053695,153,175,0.001647,0.001691,0.115712,0.122675,0.016575,-0.018706,0.032801,0.032837,0.006862,0.018655,0.195631,0.219647,-5.270463,42,35,1.608027,4.316515,13211.18798,25644.64862,482204888,1813683230,Deep
1_20140217_102942,30.006101,-91.14379,1543,-0.41,27984.72715,180.349967,90.729177,1381.860655,114.555556,464.877345,65609778.03,0.948955,9.552866,71.862595,18.137405,71.862595,0.129316,0.299935,935,0.062936,0.05339,151.666667,175.333333,0.00209,0.002121,0.065112,0.008833,-0.010647,0.006547,0.030194,0.030173,-0.013859,0.006476,0.188389,0.204704,-1.756821,46.666667,30,1.670833,4.823394,505831.9125,504936.4008,6.71186E+11,6.71236E+11,Deep
1_20140221_125845,30.00774,-91.143552,1419,-0.41,27984.72715,180.349967,90.729177,1381.860655,114.555556,464.877345,65609778.03,0.948955,9.552866,71.862595,18.137405,71.862595,0.129316,0.299935,935,0.062936,0.05339,151.666667,175.333333,0.00209,0.002121,0.065112,0.008833,-0.010647,0.006547,0.030194,0.030173,-0.013859,0.006476,0.188389,0.204704,-1.756821,46.666667,30,1.670833,4.823394,505831.9125,504936.4008,6.71186E+11,6.71236E+11,Deep
1_20140226_052318,30.012838,-91.12771,1375,-0.43,1671.2288,178.143831,5.849018,129.937637,122.444444,0.305341,565465.4727,0.949245,38.349667,71.768563,18.231437,71.768563,0.136609,0.287975,894,0.06221,0.053246,153.666667,174.666667,0.001703,0.001738,0.064097,0.002053,0.003939,0.007673,0.032577,0.032545,-0.009797,0.003613,0.201017,0.226833,-5.270463,49,41.666667,1.696664,5.317225,13211.18798,25644.64862,482204888,1813683230,Deep
1_20140226_054628,30.008098,-91.143338,1400,0.13,5621.748164,162.713464,30.481099,346.884416,129.814815,1.907147,2440371.101,0.959497,44.459985,62.780917,27.219083,62.780917,0.105905,0.256625,7671,0.065525,0.056342,154.888889,175.777778,0.001462,0.001502,0.112576,0.090884,0.004149,-0.01316,0.025533,0.025615,0.003682,0.010493,0.19521,0.222024,-1.756821,42.666667,40.333333,1.534528,3.975227,1709.807427,21091.52998,34783202.63,1322143215,Deep
1_20140226_205345,30.013451,-91.126413,1582,-0.01,1845.704464,172.277369,6.321298,151.796192,117.666667,0.345408,677083.9613,0.953916,43.40408,73.487645,16.512355,73.487645,0.136795,0.281995,2441.666667,0.06269,0.053719,154,174.6,0.001606,0.001641,0.063808,0.002363,0.004744,0.007513,0.030708,0.030697,-0.012048,0.002212,0.198909,0.227813,-5.270463,47.2,42,1.668292,5.067243,13211.18798,25644.64862,482204888,1813683230,Deep
1_20140303_205401,30.008741,-91.139677,1574,-0.27,1671.2288,178.143831,5.849018,129.937637,122.444444,0.305341,565465.4727,0.949245,38.349667,71.768563,18.231437,71.768563,0.136609,0.287975,894,0.06221,0.053246,153.666667,174.666667,0.001703,0.001738,0.064097,0.002053,0.003939,0.007673,0.032577,0.032545,-0.009797,0.003613,0.201017,0.226833,-5.270463,49,41.666667,1.696664,5.317225,13211.18798,25644.64862,482204888,1813683230,Deep
1_20140318_220429,30.009166,-91.139762,1559,0.11,7560.180271,181.493967,51.122455,587.360459,154.444444,3.298831,4993599.775,0.935403,30.792353,71.480243,18.519757,71.480243,0.111365,0.30605,921,0.061634,0.052269,151.666667,175.333333,0.001953,0.001998,0.13388,0.161849,0.018103,-0.026966,0.039105,0.039095,0.019919,0.028339,0.200862,0.213985,-5.270463,45.666667,31.666667,1.673056,4.816219,72581.74958,60921.23513,14454578596,14033204044,Deep
1_20140318_220431,30.009289,-91.139542,1867,0.69,7560.180271,181.493967,51.122455,587.360459,154.444444,3.298831,4993599.775,0.935403,30.792353,71.480243,18.519757,71.480243,0.111365,0.30605,921,0.061634,0.052269,151.666667,175.333333,0.001953,0.001998,0.13388,0.161849,0.018103,-0.026966,0.039105,0.039095,0.019919,0.028339,0.200862,0.213985,-5.270463,45.666667,31.666667,1.673056,4.816219,72581.74958,60921.23513,14454578596,14033204044,Deep
1_20140319_083829,30.009099,-91.138893,1695,-0.26,5516.985501,191.449482,23.996409,139.79346,169.777778,0.885694,1027653.044,0.943699,30.097643,49.1792,40.8208,49.1792,0.121989,0.304145,898,0.0567,0.048571,153.666667,178,0.001693,0.001723,0.057834,-0.005808,-0.011644,0.004527,0.035424,0.035333,-0.001581,0.009295,0.218675,0.227454,-5.270463,54.333333,40.333333,1.674776,4.920586,39804.27934,43319.73253,4247365285,5377993356,Deep
1_20140412_214201,30.01362,-91.128099,1336,-0.4,21078.46522,172.146535,84.189773,1178.737502,127.733333,280.916252,42359756.38,0.949062,26.851749,74.540815,15.459185,74.540815,0.102143,0.263429,2503.333333,0.069666,0.05934,155.8,175.8,0.001879,0.001922,0.156792,0.164781,0.004953,-0.027338,0.02617,0.02628,0.01056,0.008771,0.18136,0.202433,1.054093,39,31.8,1.554964,4.301316,1709.807427,21091.52998,34783202.64,1322143215,Deep
1_20140426_022456,30.014214,-91.130524,1920,-0.15,2367.388879,164.223706,10.092428,165.960591,109.444444,0.794671,654279.8342,0.959618,38.400331,64.453445,25.546555,64.453445,0.12263,0.269266,3476,0.063288,0.054433,152.166667,174.166667,0.001556,0.001591,0.06369,0.006496,0.002565,0.006877,0.02785,0.027871,-0.008931,0.010559,0.197058,0.226945,-3.513642,47,42.166667,1.616859,4.518861,20399.68594,26880.00067,1176469492,2341161020,Deep
1_20140426_213804,30.010896,-91.139647,1886,-0.12,1845.704464,172.277369,6.321298,151.796192,117.666667,0.345408,677083.9613,0.953916,43.40408,73.487645,16.512355,73.487645,0.136795,0.281995,2441.666667,0.06269,0.053719,154,174.6,0.001606,0.001641,0.063808,0.002363,0.004744,0.007513,0.030708,0.030697,-0.012048,0.002212,0.198909,0.227813,-5.270463,47.2,42,1.668292,5.067243,13211.18798,25644.64862,482204888,1813683230,Deep
1_20140505_142556,30.013509,-91.125406,1400,-0.19,4977.969418,162.26558,29.480034,414.40694,122.833333,1.928543,3057915.768,0.957023,51.590491,76.896893,13.103107,76.896893,0.111843,0.251574,3418,0.06886,0.05904,157,175.166667,0.001494,0.001539,0.140354,0.134786,0.013419,-0.021207,0.025315,0.02543,0.005446,0.004145,0.187437,0.219198,-1.756821,38.833333,39.833333,1.54421,4.300913,1709.807427,21091.52998,34783202.64,1322143215,Deep
